9.2132,8.1546
9.8795,2.1609
10.126,9.1975
4.2261,9.0177
4.8688,11.023
13.302,16.108
7.1675,14.017
11.596,17.445
2.4215,1.0438
7.9572,4.3936
7.4138,9.1928
13.415,19.171
-0.62556,15.801
6.008,9.0375
6.3454,6.6686
-0.55734,1.1819
12.475,14.818
12.15,10.136
5.0238,3.9985
10.508,8.5439
0.37544,3.3738
7.9171,15.034
2.17,7.367
5.1305,18.836
11.504,0.34345
1.1393,16.581
2.8616,12.532
5.7327,10.775
3.405,13.01
10.776,14.533
13.8,1.8898
0.54476,17.551
1.7901,0.28724
9.2358,5.8861
4.0075,3.5983
13.579,18.526
13.557,1.3636
8.2992,11.622
11.762,12.743
4.4301,13.025
8.1109,17.292
13.764,1.1191
6.9516,16.337
12.937,10.578
9.5255,13.887
5.7446,4.2481
8.2245,10.866
12.202,14.05
1.1798,19.129
4.3259,8.8908
13.875,1.708
4.4376,1.1468
8.5417,12.589
12.422,15.924
13.926,13.824
8.4506,6.9062
-0.26502,18.936
-1.4222,10.404
7.8895,19.076
7.0743,1.4719
13.391,4.1406
9.9377,15.501
8.6003,18.284
6.373,15.651
2.1583,5.9107
13.392,3.0369
6.6433,16.958
-1.5157,15.697
9.141,5.4166
6.3155,4.5562
-1.0555,6.4205
12.241,16.591
3.2832,16.444
1.6752,11.414
-0.17682,11.437
2.9748,5.7204
1.6549,13.983
8.432,15.925
-0.94144,8.8318
2.4069,8.9243
2.5091,9.3132
12.081,5.5808
5.1093,13.508
10.095,18.073
7.6527,18.171
10.532,14.944
-0.17711,5.2102
13.657,13.793
11.578,2.6366
-1.1897,2.47
5.4592,3.8181
3.2105,2.9146
8.0833,11.701
1.6848,1.4672
7.2782,16.447
7.6505,14.458
7.5981,18.517
5.1748,9.8528
-1.4332,13.098
6.221,17.802
